"","Site","Region","Plot","Date_Collection","Date_Dried","Date_Dry_Weighed","Days_Dried","Wet_Weight_g","Dry_Weight_g","Moisture_Loss_g","Moisture_Loss_Percent","Elevation_NAVD88m","BAI_Extracted","Lidar_Extracted","NDWI_Extracted","RBR_Extracted"
"1","Adams Point","Little Bay",2,"9/27/2024","9/27/2024","9/30/2024",3,344.3,85.6,258.7,75.1,-0.033,0.247,0.318,-0.247,0.043
"2","Adams Point","Little Bay",4,"9/27/2024","9/27/2024","9/30/2024",3,75.7,23.3,52.4,69.2,-0.074,0.259,0.289,-0.259,0.141
"3","Jackson Lab Pier","Little Bay",2,"9/27/2024","9/27/2024","9/30/2024",3,195.5,49.9,145.6,74.5,-0.486,0.163,-0.085,-0.163,0.058
"4","Jackson Lab Pier","Little Bay",4,"9/27/2024","9/27/2024","9/30/2024",3,202.8,52.2,150.6,74.3,-0.364,0.193,0.134,-0.193,0.059
"5","Bunker Creek","Oyster River",2,"9/30/2024","9/30/2024","10/3/2024",3,69.3,13.6,55.7,80.4,-0.088,-0.129,0.383,0.129,0.046
"6","Bunker Creek","Oyster River",4,"9/30/2024","9/30/2024","10/3/2024",3,96.6,21.7,74.9,77.5,0.139,0.1,-0.331,-0.1,0.03
"7","Cedar Point","Bellamy River",2,"10/3/204","10/3/2024","10/7/2024",4,340.4,86.7,253.7,74.5,0.367,0.022,0.666,-0.022,0.042
"8","Cedar Point","Bellamy River",4,"10/3/204","10/3/2024","10/7/2024",4,455,120.6,334.4,73.5,-0.021,0.092,0.03,-0.092,0.112
"9","Dover Point","Cocheco - Salmon Falls Rivers",2,"10/8/2024","10/8/2024","10/12/2024",4,282.9,63,219.9,77.7,-0.491,0.203,-0.469,-0.203,0.041
"10","Dover Point","Cocheco - Salmon Falls Rivers",4,"10/8/2024","10/8/2024","10/12/2024",4,310.9,73.6,237.3,76.3,-0.483,0.236,-0.427,-0.236,0.092
"11","Route 16 Northwest","Piscataqua River",2,"10/8/2024","10/8/2024","10/12/2024",4,501.5,103,398.5,79.5,-0.134,0.186,-0.178,-0.186,0.042
"12","Route 16 Northwest","Piscataqua River",4,"10/8/2024","10/8/2024","10/12/2024",4,779.6,166.2,613.4,78.7,-0.442,0.29,-0.526,-0.29,0.038
"13","Newcastle Ave","Portsmouth Harbor & Seavey Island",2,"10/28/2024","10/29/2024","10/31/2024",2,121.6,36,85.6,70.4,0.151,0.351,-0.314,-0.351,-0.07
"14","Newcastle Ave","Portsmouth Harbor & Seavey Island",4,"10/28/2024","10/29/2024","10/31/2024",2,195.5,54.5,141,72.1,-0.817,-0.224,-1.009,0.224,0.049
"15","Newcastle Commons","Portsmouth Harbor & Seavey Island",2,"10/28/2024","10/29/2024","10/31/2024",2,272.2,45,227.2,83.5,-1.162,0.292,-0.851,-0.292,-0.061
"16","Newcastle Commons","Portsmouth Harbor & Seavey Island",4,"10/28/2024","10/29/2024","10/31/2024",2,958.7,282.9,675.8,70.5,-0.276,0.311,0.077,-0.311,0.02
"17","Hilton Park","Little Bay",2,"10/28/2024","10/29/2024","10/31/2024",2,830.6,175.9,654.7,78.8,-0.984,0.369,-0.929,-0.369,-0.076
"18","Hilton Park","Little Bay",4,"10/28/2024","10/29/2024","10/31/2024",2,480.5,99,381.5,79.4,-0.779,0.348,-0.688,-0.348,-0.085
"19","Wentworth Golf Course","Portsmouth Harbor & Seavey Island",2,"10/31/2024","10/31/2024","11/4/2024",4,524.7,134.3,390.4,74.4,0.052,0.27,-0.043,-0.27,0.114
"20","Wentworth Golf Course","Portsmouth Harbor & Seavey Island",4,"10/31/2024","10/31/2024","11/4/2024",4,224,59.3,164.7,73.5,-0.69,0.383,-0.83,-0.383,0.064
"21","Seacoast Science Center","Portsmouth Harbor & Seavey Island",2,"10/31/2024","10/31/2024","11/4/2024",4,384.6,91.1,293.5,76.3,-0.605,0.31,-1.89,-0.31,-0.026
"22","Seacoast Science Center","Portsmouth Harbor & Seavey Island",4,"10/31/2024","10/31/2024","11/4/2024",4,275.9,55.2,220.7,80,-0.921,0.329,-1.89,-0.329,-0.096
"23","Bracketts Point","Great Bay",3,"11/6/2024","11/6/2024","11/8/2024",2,597.8,130.4,467.4,78.2,-0.484,0.166,-0.416,-0.166,0.042
"24","Bracketts Point","Great Bay",4,"11/6/2024","11/6/2024","11/8/2024",2,120.1,32.8,87.3,72.7,-0.833,0.143,-1.5,-0.143,0.126
"25","Great Bay Refuge North","Little Bay",2,"11/7/2024","11/7/2024","11/11/2024",4,171.8,38.4,133.4,77.6,-0.598,0.175,-0.426,-0.175,0.014
"26","Great Bay Refuge North","Little Bay",4,"11/7/2024","11/7/2024","11/11/2024",4,226.5,53.9,172.6,76.2,0.223,0.228,0.353,-0.228,0.089
"27","Footman Island","Great Bay",2,"11/7/2024","11/7/2024","11/11/2024",4,573.6,127.7,445.9,77.7,-0.352,0.302,-1.5,-0.302,0.042
"28","Footman Island","Great Bay",4,"11/7/2024","11/7/2024","11/11/2024",4,361.9,83.1,278.8,77,-0.352,0.333,-1.5,-0.333,0.028
"29","Woodman Point","Great Bay",2,"11/7/2024","11/8/2024","11/11/2024",3,139.4,35.4,104,74.6,-0.372,0.18,-0.176,-0.18,0.077
"30","Woodman Point","Great Bay",4,"11/7/2024","11/8/2024","11/11/2024",3,281,61.8,219.2,78,-0.454,0.28,-0.458,-0.28,-0.011
"31","Wagon Hill Farm West","Oyster River",2,"11/20/2024","11/20/2024","11/22/2024",2,199.2,44.9,154.3,77.5,-0.444,0.116,-0.299,-0.116,0.089
"32","Wagon Hill Farm West","Oyster River",4,"11/20/2024","11/20/2024","11/22/2024",2,139.5,32.8,106.7,76.5,-0.481,0.146,-0.678,-0.146,0.092
"33","Wagon Hill Farm East","Oyster River",2,"11/20/2024","11/20/2024","11/22/2024",2,101.9,24.4,77.5,76.1,-0.722,0.181,-0.298,-0.181,0.084
"34","Wagon Hill Farm East","Oyster River",4,"11/20/2024","11/20/2024","11/22/2024",2,659,149.6,509.4,77.3,-0.104,0.134,0.008,-0.134,0.141
"35","Four Tree Island","Portsmouth Harbor & Seavey Island",2,"11/21/2024","12/2/2024","12/4/2024",2,168.9,41.3,127.6,75.5,-0.415,0.217,-0.579,-0.217,0.083
"36","Four Tree Island","Portsmouth Harbor & Seavey Island",4,"11/21/2024","12/2/2024","12/4/2024",2,159.5,36.8,122.7,76.9,-0.335,0.004,-0.297,-0.004,0.038
"37","Spur Road","Bellamy River",2,"11/21/2024","12/2/2024","12/4/2024",2,385.8,84,301.8,78.2,-0.517,-0.104,-0.25,0.104,0.16
"38","Spur Road","Bellamy River",4,"11/21/2024","12/2/2024","12/4/2024",2,156.5,34.9,121.6,77.7,0.017,0.096,0.208,-0.096,0.014
"39","Patterson Lane","Piscataqua River",2,"11/22/2024","12/4/2024","12/6/2024",2,245.3,59,186.3,75.9,0.235,0.271,-0.207,-0.271,0.025
"40","Patterson Lane","Piscataqua River",4,"11/22/2024","12/4/2024","12/6/2024",2,315.7,68.1,247.6,78.4,0.006,0.286,-0.074,-0.286,-0.025
"41","Hislop Field","Piscataqua River",2,"11/22/2024","12/4/2024","12/6/2024",2,165.3,36.3,129,78,0.805,0.228,0.753,-0.228,-0.049
"42","Hislop Field","Piscataqua River",4,"11/22/2024","12/4/2024","12/6/2024",2,152.5,37,115.5,75.7,-0.473,0.267,-0.464,-0.267,-0.094
"43","Dead Duck Boat Ramp","Piscataqua River",2,"12/6/2024","12/6/2024","12/9/2024",3,682.8,141.7,541.1,79.2,-0.707,-0.26,-0.611,0.26,0.015
"44","Dead Duck Boat Ramp","Piscataqua River",4,"12/6/2024","12/6/2024","12/9/2024",3,126.7,26.3,100.4,79.2,0.265,-0.036,0.221,0.036,0.23
"45","Carters Rock","Little Bay",2,"12/13/2024","12/13/2024","12/16/2024",3,103.8,28.1,75.7,72.9,-0.267,0.143,-0.382,-0.143,-0.008
"46","Carters Rock","Little Bay",4,"12/13/2024","12/13/2024","12/16/2024",3,87.3,21.5,65.8,75.4,-0.459,0.195,-0.403,-0.195,0.044
