Site,Region,Plot,Date_Collection,Date_Dried,Date_Dry_Weighed,Days_Dried,Wet_Weight_g,Dry_Weight_g,Moisture_Loss_g,Moisture_Loss_Percent
Adams Point,Little Bay,2,9/27/2024,9/27/2024,9/30/2024,3,344.3,85.6,258.7,75.1
Adams Point,Little Bay,4,9/27/2024,9/27/2024,9/30/2024,3,75.7,23.3,52.4,69.2
Jackson Lab Pier,Little Bay,2,9/27/2024,9/27/2024,9/30/2024,3,195.5,49.9,145.6,74.5
Jackson Lab Pier,Little Bay,4,9/27/2024,9/27/2024,9/30/2024,3,202.8,52.2,150.6,74.3
Bunker Creek,Oyster River,2,9/30/2024,9/30/2024,10/3/2024,3,69.3,13.6,55.7,80.4
Bunker Creek,Oyster River,4,9/30/2024,9/30/2024,10/3/2024,3,96.6,21.7,74.9,77.5
Cedar Point,Bellamy River,2,10/3/204,10/3/2024,10/7/2024,4,340.4,86.7,253.7,74.5
Cedar Point,Bellamy River,4,10/3/204,10/3/2024,10/7/2024,4,455,120.6,334.4,73.5
Dover Point,Cocheco - Salmon Falls Rivers,2,10/8/2024,10/8/2024,10/12/2024,4,282.9,63,219.9,77.7
Dover Point,Cocheco - Salmon Falls Rivers,4,10/8/2024,10/8/2024,10/12/2024,4,310.9,73.6,237.3,76.3
Route 16 Northwest,Piscataqua River,2,10/8/2024,10/8/2024,10/12/2024,4,501.5,103,398.5,79.5
Route 16 Northwest,Piscataqua River,4,10/8/2024,10/8/2024,10/12/2024,4,779.6,166.2,613.4,78.7
Newcastle Ave,Portsmouth Harbor & Seavey Island,2,10/28/2024,10/29/2024,10/31/2024,2,121.6,36,85.6,70.4
Newcastle Ave,Portsmouth Harbor & Seavey Island,4,10/28/2024,10/29/2024,10/31/2024,2,195.5,54.5,141,72.1
Newcastle Commons,Portsmouth Harbor & Seavey Island,2,10/28/2024,10/29/2024,10/31/2024,2,272.2,45,227.2,83.5
Newcastle Commons,Portsmouth Harbor & Seavey Island,4,10/28/2024,10/29/2024,10/31/2024,2,958.7,282.9,675.8,70.5
Hilton Park,Little Bay,2,10/28/2024,10/29/2024,10/31/2024,2,830.6,175.9,654.7,78.8
Hilton Park,Little Bay,4,10/28/2024,10/29/2024,10/31/2024,2,480.5,99,381.5,79.4
Wentworth Golf Course,Portsmouth Harbor & Seavey Island,2,10/31/2024,10/31/2024,11/4/2024,4,524.7,134.3,390.4,74.4
Wentworth Golf Course,Portsmouth Harbor & Seavey Island,4,10/31/2024,10/31/2024,11/4/2024,4,224,59.3,164.7,73.5
Seacoast Science Center,Portsmouth Harbor & Seavey Island,2,10/31/2024,10/31/2024,11/4/2024,4,384.6,91.1,293.5,76.3
Seacoast Science Center,Portsmouth Harbor & Seavey Island,4,10/31/2024,10/31/2024,11/4/2024,4,275.9,55.2,220.7,80
Bracketts Point,Great Bay,3,11/6/2024,11/6/2024,11/8/2024,2,597.8,130.4,467.4,78.2
Bracketts Point,Great Bay,4,11/6/2024,11/6/2024,11/8/2024,2,120.1,32.8,87.3,72.7
Great Bay Refuge North,Little Bay,2,11/7/2024,11/7/2024,11/11/2024,4,171.8,38.4,133.4,77.6
Great Bay Refuge North,Little Bay,4,11/7/2024,11/7/2024,11/11/2024,4,226.5,53.9,172.6,76.2
Footman Island,Great Bay,2,11/7/2024,11/7/2024,11/11/2024,4,573.6,127.7,445.9,77.7
Footman Island,Great Bay,4,11/7/2024,11/7/2024,11/11/2024,4,361.9,83.1,278.8,77
Woodman Point,Great Bay,2,11/7/2024,11/8/2024,11/11/2024,3,139.4,35.4,104,74.6
Woodman Point,Great Bay,4,11/7/2024,11/8/2024,11/11/2024,3,281,61.8,219.2,78
Wagon Hill Farm West,Oyster River,2,11/20/2024,11/20/2024,11/22/2024,2,199.2,44.9,154.3,77.5
Wagon Hill Farm West,Oyster River,4,11/20/2024,11/20/2024,11/22/2024,2,139.5,32.8,106.7,76.5
Wagon Hill Farm East,Oyster River,2,11/20/2024,11/20/2024,11/22/2024,2,101.9,24.4,77.5,76.1
Wagon Hill Farm East,Oyster River,4,11/20/2024,11/20/2024,11/22/2024,2,659,149.6,509.4,77.3
Four Tree Island,Portsmouth Harbor & Seavey Island,2,11/21/2024,12/2/2024,12/4/2024,2,168.9,41.3,127.6,75.5
Four Tree Island,Portsmouth Harbor & Seavey Island,4,11/21/2024,12/2/2024,12/4/2024,2,159.5,36.8,122.7,76.9
Spur Road,Bellamy River,2,11/21/2024,12/2/2024,12/4/2024,2,385.8,84,301.8,78.2
Spur Road,Bellamy River,4,11/21/2024,12/2/2024,12/4/2024,2,156.5,34.9,121.6,77.7
Patterson Lane,Piscataqua River,2,11/22/2024,12/4/2024,12/6/2024,2,245.3,59,186.3,75.9
Patterson Lane,Piscataqua River,4,11/22/2024,12/4/2024,12/6/2024,2,315.7,68.1,247.6,78.4
Hislop Field,Piscataqua River,2,11/22/2024,12/4/2024,12/6/2024,2,165.3,36.3,129,78
Hislop Field,Piscataqua River,4,11/22/2024,12/4/2024,12/6/2024,2,152.5,37,115.5,75.7
Dead Duck Boat Ramp,Piscataqua River,2,12/6/2024,12/6/2024,12/9/2024,3,682.8,141.7,541.1,79.2
Dead Duck Boat Ramp,Piscataqua River,4,12/6/2024,12/6/2024,12/9/2024,3,126.7,26.3,100.4,79.2
Carters Rock,Little Bay,2,12/13/2024,12/13/2024,12/16/2024,3,103.8,28.1,75.7,72.9
Carters Rock,Little Bay,4,12/13/2024,12/13/2024,12/16/2024,3,87.3,21.5,65.8,75.4
